"ID","ID"
"Thumbnail","Thumbnail"
"Small Img","Small Img"
"Image","Image"
"Name","Name"
"Name in %1","Name in %1"
"Type","Type"
"Product Template","Product Template"
"SKU","SKU"
"Category ID's","Category ID's"
"Categories","Categories"
"Price","Price"
"Quantity","Quantity"
"Is in stock","Is in stock"
"Visibility","Visibility"
"Status","Status"
"Websites","Websites"
"Edit","Edit"
"View","View"
"CSV","CSV"
"XML","XML"
"Are you sure?","Are you sure?"
"Delete","Delete"
"Change Status","Change Status"
"Update Attributes","Update Attributes"
"Update","Update"
"Save Changes","Save Changes"
"Duplicate","Duplicate"
"Make a copy of selected products.","Make a copy of selected products."
"Category: Add","Category: Add"
"Assign selected products to selected categories.","Assign selected products to selected categories."
"Category: Remove","Category: Remove"
"Unassign selected products from selected categories.","Unassign selected products from selected categories."
"Category: Replace","Category: Replace"
"Unassign products from all categories and assign this products to specified list of cateogires.","Unassign products from all categories and assign this products to specified list of cateogires."
"Update: Qty","Update: Qty"
"Update: Is In Stock","Update: Is In Stock"
"Is in Stock: ","Is in Stock: "
"Update: Price","Update: Price"
"By: ","By: "
"Update: Cost","Update: Cost"
"Update: Special Price'","Update: Special Price'"
"Update: Price based on Cost","Update: Price based on Cost"
"Update: Special Price based on Cost","Update: Special Price based on Cost"
"Update: Special Price based on Price","Update: Special Price based on Price"
"Related: To Each Other","Related: To Each Other"
"Related: Add ..","Related: Add .."
"Related: Clear","Related: Clear"
"Relate selected products to each other.","Relate selected products to each other."
"Relate specified products to selected list of products.","Relate specified products to selected list of products."
"Remove all related products from selected list of products.","Remove all related products from selected list of products."
"Cross-Sell: To Each Other","Cross-Sell: To Each Other"
"Cross-sell selected products to each other.","Cross-sell selected products to each other."
"Cross-Sell: Add ..","Cross-Sell: Add .."
"Cross-sell specified products to selected list of products.","Cross-sell specified products to selected list of products."
"Cross-Sell: Clear","Cross-Sell: Clear"
"Remove all cross-sells products from selected list of products.","Remove all cross-sells products from selected list of products."
"Up-Sells: Add ..","Up-Sells: Add .."
"Up-sell specified products to selected list of products.","Up-sell specified products to selected list of products."
"Up-Sells: Clear","Up-Sells: Clear"
"Remove all up-sell products from selected list of products.","Remove all up-sell products from selected list of products."
"ID","ID"
"ID","ID"
