"No Subcategory","No Subcategory"
"Subcategories Slider","Subcategories Slider"
Configuration,Configuration
"Set Default Image","Set Default Image"
"Allowed file types:PNG, GIF, JPG, JPEG.
                        Image uplode required otherwise default image show.","Allowed file types:PNG, GIF, JPG, JPEG.
                        Image uplode required otherwise default image show."
"Background Color","Background Color"
"Font Color","Font Color"
"Subcategories Listview","Subcategories Listview"
"Choose SubCategory","Choose SubCategory"
"Choose Subcategory slider","Choose Subcategory slider"
"Choose Subcategory List","Choose Subcategory List"
