"Your Mobile Number Must be "" . . "" digit long with country code.","Su número de móvil debe tener "" . . "" dígitos incluyendo el código del país."
"Your Mobile No Must be "" . . "" Digit Long.","Su Número Celular debe tener "" . . "" Dígitos de Largo."
"You haven't configured the WhatsApp Configuration","You haven't configured the WhatsApp Configuration"
"Please Configure all WhatsApp Configuration.","Please Configure all WhatsApp Configuration."
"Enter Your WhatsApp No. With Country Code i.e 919898989898","Ingrese su número de WhatsApp con el código de país, es decir, 584145101112"
"Enter Your WhatsApp Number.","Introduzca su número de WhatsApp."
"For Order Updates.","Para actualizaciones de pedidos."
Numeric,Numerico
"Alpha Numeric","Alpha Numérico"
"Please, Enter Order Id.","Please, Enter Order Id."
"This service is disable right now.","This service is disable right now."
"Order is Notified","Order is Notified"
"Please, Enter Invoice Id.","Please, Enter Invoice Id."
"Invoice is Notified","Invoice is Notified"
"Please, Enter Shipment Id.","Please, Enter Shipment Id."
"Shipment is Notified","Shipment is Notified"
"Please, Enter Creditmemo Id.","Please, Enter Creditmemo Id."
"Creditmemo is Notified","Creditmemo is Notified"
"Invalid parameter list.","Invalid parameter list."
"Contact Information is Notified","Contact Information is Notified"
"Customer Is Not Valid","Customer Is Not Valid"
"Mobile Number Is Not Available","El Número de Móvil no está disponible"
"Account Registration is Notified","Account Registration is Notified"
"Additional Information","Información Adicional"
"Whatsapp Number","Número de Whatsapp"
"WhatsApp Number","Número de Whatsapp"
mobilenumber,númerocelular
"Enter Your WhatsApp No. With Country Code i.e 58xxxxxxx09","Enter Your WhatsApp No. With Country Code i.e 58xxxxxxx09"
"This is a required field.","This is a required field."
"Please, Enter Valid Mobile Number.","Por favor, introduzca un número de móvil válido."
"Something went wrong, Try again later.","Algo salió mal, inténtalo de nuevo más tarde."

